iter	Passed	Remaining
773	1484	433
774	1485	431
775	1486	429
776	1487	427
777	1488	424
778	1489	422
779	1490	420
780	1491	418
781	1492	416
782	1493	413
783	1495	412
784	1496	409
785	1497	407
786	1498	405
787	1499	403
788	1500	401
789	1501	399
790	1502	397
791	1503	394
792	1504	392
793	1505	390
794	1506	388
795	1507	386
796	1509	384
797	1510	382
798	1511	380
799	1512	378
800	1514	376
801	1515	374
802	1516	372
803	1517	369
804	1518	367
805	1519	365
806	1520	363
807	1521	361
808	1522	359
809	1522	357
810	1524	355
811	1525	353
812	1526	351
813	1527	349
814	1529	347
815	1530	345
816	1531	343
817	1533	341
818	1534	339
819	1535	337
820	1536	335
821	1537	332
822	1538	330
823	1540	329
824	1541	327
825	1543	325
826	1544	323
827	1545	320
828	1546	318
829	1547	316
830	1548	314
831	1549	312
832	1550	310
833	1550	308
834	1551	306
835	1552	304
836	1553	302
837	1555	300
838	1556	298
839	1557	296
840	1558	294
841	1559	292
842	1560	290
843	1561	288
844	1562	286
845	1562	284
846	1563	282
847	1564	280
848	1565	278
849	1566	276
850	1567	274
851	1568	272
852	1570	270
853	1571	268
854	1572	266
855	1573	264
856	1573	262
857	1574	260
858	1575	258
859	1576	256
860	1577	254
861	1578	252
862	1579	250
863	1580	248
864	1581	246
865	1582	244
866	1584	243
867	1585	241
868	1586	239
869	1587	237
870	1588	235
871	1589	233
872	1590	231
873	1591	229
874	1592	227
875	1593	225
876	1593	223
877	1594	221
878	1595	219
879	1596	217
880	1598	215
881	1599	214
882	1601	212
883	1602	210
884	1603	208
885	1604	206
886	1605	204
887	1606	202
888	1607	200
889	1608	198
890	1609	196
891	1610	195
892	1611	193
893	1612	191
894	1614	189
895	1615	187
896	1616	185
897	1617	183
898	1618	181
899	1619	179
900	1620	178
901	1621	176
902	1623	174
903	1624	172
904	1625	170
905	1626	168
906	1627	166
907	1630	165
908	1631	163
909	1632	161
910	1633	159
911	1634	157
912	1635	155
913	1636	154
914	1637	152
915	1638	150
916	1639	148
917	1640	146
918	1641	144
919	1643	142
920	1644	141
921	1645	139
922	1646	137
923	1647	135
924	1648	133
925	1649	131
926	1650	129
927	1651	128
928	1653	126
929	1654	124
930	1655	122
931	1656	120
932	1657	119
933	1659	117
934	1660	115
935	1660	113
936	1661	111
937	1662	109
938	1663	108
939	1664	106
940	1665	104
941	1666	102
942	1667	100
943	1668	99
944	1670	97
945	1671	95
946	1672	93
947	1673	91
948	1674	90
949	1675	88
950	1676	86
951	1677	84
952	1678	82
953	1679	80
954	1680	79
955	1681	77
956	1682	75
957	1682	73
958	1684	71
959	1685	70
960	1686	68
961	1687	66
962	1688	64
963	1689	63
964	1690	61
965	1691	59
966	1692	57
967	1693	55
968	1694	54
969	1695	52
970	1696	50
971	1697	48
972	1698	47
973	1698	45
974	1699	43
975	1701	41
976	1702	40
977	1704	38
978	1705	36
979	1706	34
980	1707	33
981	1708	31
982	1708	29
983	1710	27
984	1711	26
985	1712	24
986	1713	22
987	1714	20
988	1716	19
989	1718	17
990	1719	15
991	1720	13
992	1721	12
993	1721	10
994	1722	8
995	1723	6
996	1724	5
997	1725	3
998	1726	1
999	1727	0
